"Source: https://esube.iskur.gov.tr/Meslek/meslek.aspx -> click on ""Tüm meslek listesini görmek için tıklayınız",
ISCO-08 KODU,MESLEK ADI
1112.23,Genel Müdür Yardımcısı
1112.24,Başkonsolos
1112.25,Büyükelçi
1112.26,Maslahatgüzar
1112.27,Diplomat (Dış İşleri Meslek Memuru)
1112.28,Üst Kurul Üyesi
1112.29,Anayasa Mahkemesi Raportörü
1112.3,Afet ve Acil Durum Yönetimi Başkanı
1112.31,Danıştay Başkanı
1112.32,Danıştay Üyesi
1112.33,Yargıtay Başkanı
1112.34,Genel Sekreter Yardımcısı
1112.35,Sayıştay Başkanı
1112.36,Sayıştay Üyesi
1112.37,Uyuşmazlık Mahkemesi Başkanı
1112.38,Uyuşmazlık Mahkemesi Üyesi
1112.39,Teftiş Kurulu Başkanı
1113.01,Muhtar-Köy
1113.02,Muhtar-Mahalle
1114.01,İşçi Sendikası Genel Sekreteri
1114.02,İşveren Sendikası Genel Sekreteri
1114.03,Memur Sendikası Genel Sekreteri
1114.04,Oda Başkanı
1114.05,Siyasi Parti Genel Başkanı
1114.06,Siyasi Parti Üst Düzey Yöneticisi
1114.07,Siyasi Parti Genel Sekreteri
1114.08,Siyasi Parti MKYK Üyesi
1114.09,İşçi Sendikası Üst Düzey Yöneticisi
1114.1,İşveren Sendikası Üst Düzey Yöneticisi
1114.11,Memur Sendikası Üst Düzey Yöneticisi
1114.12,İşçi Sendikası Genel Başkanı
1114.13,İşveren Sendikası Genel Başkanı
1114.14,Memur Sendikası Genel Başkanı
1114.15,"Dernek, Vakıf, Birlik Ve STK Başkan Ve Üst Düzey Yöneticileri"
1114.16,Kızılay Genel Başkanı
1114.17,İşyeri Sendika Temsilcisi
1114.18,Genel Sekreter (Sivil Toplum Kuruluşları)
1114.19,Genel Sekreter Yardımcısı (Sivil Toplum Kuruluşları)
1114.2,Genel Sekreter Yardımcısı (Memur Sendikaları)
1114.21,Genel Sekreter Yardımcısı (İşveren Sendikaları)
1114.22,Genel Sekreter Yardımcısı (İşçi Sendikaları)
1114.23,Genel Sekreter Yardımcısı (Siyasi Parti)
1120.01,Armatör
1120.02,Başhekim
1120.03,Başhekim Yardımcısı
1120.04,Başkan-Özel Sektör
1120.05,Bölge Müdürü-Özel Sektör
1120.06,"Genel Müdür-Avcılık, Balıkçılık, Ormancılık Ve Tarım (Özel Sektör)"
1120.07,Genel Müdür-Bankalar Ve Mali Müesseseler (Özel Sektör)
1120.08,"Genel Müdür-Depolama, İletişim Ve Ulaştırma (Özel Sektör)"
1120.09,"Genel Müdür-Eğitim, Sağlık, Spor (Özel Sektör)"
1120.1,"Genel Müdür-Eğlence, Lokanta, Otel (Özel Sektör)"
1120.11,Genel Müdür-Gayrimenkul Ticareti (Özel Sektör)
1120.12,Genel Müdür-İnşaat Ve İmalat Sanayi (Özel Sektör)
1120.13,Genel Müdür-Kişisel Bakım Ve Temizlik (Özel Sektör)
1120.14,"Genel Müdür-Kültürel Etkinlikler, Sosyal İşler Ve Uluslararası Teşkilatlar (Özel Sektör)"
1120.15,Genel Müdür-Perakende Ve Toptan Ticaret (Özel Sektör)
1120.16,Genel Müdür-Turizm (Özel Sektör)
1120.17,Diğer Özel Sektör Genel Müdürler
1120.18,"Genel Müdür Yardımcısı-Avcılık, Balıkçılık, Ormancılık Ve Tarım (Özel Sektör)"
1120.19,Genel Müdür Yardımcısı-Bankalar Ve Mali Müesseseler (Özel Sektör)
1120.2,"Genel Müdür Yardımcısı-Depolama, İletişim Ve Ulaştırma (Özel Sektör)"
1120.21,"Genel Müdür Yardımcısı-Eğitim, Sağlık, Spor (Özel Sektör)"
1120.22,"Genel Müdür Yardımcısı-Eğlence, Lokanta, Otel (Özel Sektör)"
1120.23,Genel Müdür Yardımcısı-Gayrimenkul Ticareti / Özel Sektör
1120.24,Genel Müdür Yardımcısı-İnşaat Ve İmalat Sanayi (Özel Sektör)
1120.25,Genel Müdür Yardımcısı-Kişisel Bakım Ve Temizlik (Özel Sektör)
1120.26,"Genel Müdür Yardımcısı-Kültürel Etkinlikler, Sosyal İşler Ve Uluslararası Teşkilatlar (Özel Sektör)"
1120.27,Genel Müdür Yardımcısı-Perakende Ve Toptan Ticaret (Özel Sektör)
1120.28,Diğer Özel Sektör Genel Müdür Yardımcıları
1120.29,Genel Yayın Yönetmeni
1120.3,Kooperatif Birliği Genel Müdürü
1120.31,Kooperatif Birliği Yönetim Kurulu Başkanı
1120.32,"Koordinatör-Avcılık, Balıkçılık, Ormancılık Ve Tarım"
1120.33,"Koordinatör-Depolama, İletişim Ve Ulaştırma"
1120.34,"Koordinatör-Eğitim, Sağlık, Spor, Kültür, Sosyal İşler"
1120.35,"Koordinatör-Eğlence, Lokanta, Otel"
1120.36,"Koordinatör-İnşaat, İmalat Sanayi"
1120.37,"Koordinatör-İş Hizmetleri, Temizleme, Kişisel Bakım"
1120.38,Koordinatör-Seyahat Acentesi
1120.39,Koordinatör-Toptan Ve Perakende Satış
1120.4,Koordinatör-Uluslararası Teşkilatlar
1120.41,Tıbbi Direktör
1120.42,Tepe Yönetici-İcra Kurulu Başkanı (CEO)
1120.43,Tepe Yönetici-Mali İşlerden Sorumlu (CFO)
1120.44,Yazılım Proje Yöneticisi
1120.45,Yönetici-Spor Kulübü
1120.46,Yönetim Kurulu Başkanı (Özel Sektör)
1120.47,Yönetim Kurulu Üyesi (Özel Sektör)
1120.48,Diğer Üst Düzey Yöneticiler
1120.49,Rektör
1120.5,Rektör Yardımcısı
1120.51,Yönetim Kurulu Başkanı (Basın Yayın Kuruluşu)
1120.52,Genel Müdür (Basın Yayın Kuruluşu)
1120.53,Yayın Denetleme Kurulu Başkanı
1120.54,İç Denetim Başkanı
1120.55,Risk Yönetim Başkanı (Banka)
1211.01,Bütçe Müdürü
1211.02,Döner Sermaye Müdürü
1211.03,İdari İşler Müdürü
1211.04,Fon Yöneticisi
1211.05,İdari Ve Mali İşler Müdürü
1211.06,Muhasebe Müdürü
1211.07,Saymanlık Müdür Yardımcısı
1211.08,Saymanlık Müdürü
1211.09,Şirket Genel Sekreteri
1211.1,Vergi Dairesi Müdürü
1211.11,Mal Müdürü
1211.12,Yatırım Fonu Müdürü
1211.13,Banka Müdürü
1211.14,Muhasebe ve Finansman Müdürü
1211.15,Hazine Müdürü (Banka)
1211.16,Hazine Operasyon Müdürü (Banka)
1211.17,Bireysel Operasyon Müdürü (Banka)
1211.18,Kurumsal Operasyon Müdürü (Banka)
1211.19,Risk Yönetim Müdürü (Banka)
1211.2,Kredi Müdürü (Banka)
1211.21,Finans Müdürü (Banka)
1211.22,Bölge Koordinatörü (Banka)
1212.01,Yönetici (Özlük Hizmetleri)
1212.02,Yönetici-Endüstriyel İlişkiler Ve Personel İşleri
1212.03,İnsan Kaynakları Müdürü/Yöneticisi
1212.04,İnsan Kaynakları Müdür Yardımcısı
1213.01,Planlama Müdürü
1213.02,Yönetici-Kamu Ve Özel Teşebbüse Ait Hizmetler
1213.03,"Yönetici-Elektrik, Havagazı, Su Ve Sıhhi Tesisat Hizmetleri"
1213.04,Yönetici-Sigorta
1213.05,Güvenlik Müdürü
1213.06,Tapu Müdürü
1213.07,Tapu Sicil Müdürü
1213.08,Şube Müdürü
1213.09,Başeczacı
1213.1,Özel Kalem Müdürü
1213.11,Politika Müdürü
1213.12,Milli Emlak Müdürü
1213.13,Yazı İşleri Müdürü
1213.14,Gümrük Müdürü
1213.15,SPA Merkezi Müdürü
1213.16,Araç Muayene İstasyon Amiri
1213.17,Araç Muayene İstasyon Amir Yardımcısı
1213.18,Arama Ve Kurtarma Birlik Müdürü
1213.19,Bölge Müdürü
1213.2,Proje Danışmanı
1213.21,İcra Müdürü
1213.22,Serbest Bölge Müdürü
1213.23,Müdür Yardımcısı
1213.24,Proje Grup Başkanı
1213.25,Proje Yöneticisi
1214.01,Genel Yayın Müdürü
1214.02,Genel Koordinatör(Basın Yayın Kuruluşu)
1214.03,Bölge Müdürü (Basın Yayın Kuruluşu)
1214.04,Sorumlu Müdür (Basın Yayın Kuruluşu)
1214.05,Haber Müdürü-Yurt İçi (Basın Yayın Kuruluşu)
1214.06,Haber Müdürü- Yurt Dışı (Basın Yayın Kuruluşu)
1214.07,Haber Bölüm Şefi (Basın Yayın Kuruluşu)
1214.08,İstihbarat Bölüm Şefi (Basın Yayın Kuruluşu)
1219.01,Yönetici (İş Hizmetleri)
1219.02,Yönetici-Kişisel Bakım Ve Temizlik
1219.03,Üst Düzey Yöneticisi (İş Hizmetleri)
1219.04,Üst Düzey Yöneticisi (Kişisel Bakım Ve Temizlik)
1219.05,Temizlik Hizmetleri Proje Müdürü
1219.06,Ticaret Sicili Müdürü
1219.07,Tesis Yöneticisi
1221.01,Diğer Satış Nezaretçileri
1221.02,Satış Nezaretçisi (Perakende Ticaret)
1221.03,Satış Nezaretçisi (Toptan Ticaret)
1221.04,Yönetici-Gayrimenkul İşleri
1221.05,Satış Müdürü/Yöneticisi
1221.06,Satış Müdürü
1221.07,Satış Müdürü (İlaç Ve Tıbbi Malzemeler)
1221.08,Pazarlama Müdürü
1221.09,Operasyon Yöneticisi
1221.1,İthalat-İhracat Müdürü
1221.11,Kurumsal Pazarlama Müdürü (Banka)
1221.12,Satış Müdürü Yardımcısı
1222.01,Yönetici-Reklam Ve Halkla İlişkiler
1222.02,Halkla İlişkiler Müdürü (Otel)
1222.03,Kurumsal İletişim Müdürü
1223.01,Yönetici-Araştırma Ve Geliştirme Hizmetleri
1223.02,ARGE Şefi
1223.03,Kalite (Yönetim) Sistem Sorumlusu
1223.04,Tarımsal Üretim Kalite Sistem Sorumlusu
1223.05,Kalite Yönetim Sistemi Denetçisi
1223.06,Tasarım Müdürü
1223.07,Teknoloji Transfer Uzmanı
1311.01,Hayvancılık İşletme Yöneticisi
1311.02,Çiftlik Yöneticisi
1311.03,Plantasyon Ve Uygulama Müdürü (Meyve Bahçesi)
1311.04,Kooperatif Başkanı
1311.05,Kooperatif Müdürü
1311.06,Yönetici (Ormancılık Ve Tomrukçuluk)
1311.07,Kooperatif Başkan Yardımcısı
1311.08,Katip Üye (Kooperatif)
1311.09,Muhasip Üye (Kooperatif)
1312.02,Yönetici (Balıkçılık)
1321.01,Üretim Müdürü (İmalat Sanayi)
1321.02,Üst Düzey Yöneticisi (İmalat Sanayi)
1321.03,Pişmaniye İmal İşletmecisi
1321.04,Fabrika/İşletme Müdürü
1321.05,Ürün Müdürü
1321.06,Kalite Kontrol Müdürü
1321.07,Enerji Yöneticisi
1321.08,Üretim Müdürü (Tekstil)
1321.09,Kalite Güvence Müdürü
1321.1,İşletme Müdürü (Tekstil)
1321.11,Hazır Giyim/Konfeksiyon Ürünleri Yöneticisi
1321.12,İşletme Müdür Yardımcısı
1321.13,Matbaa Müdürü/Yöneticisi
1322.01,Gravite Döküm Süreç Yöneticisi
1322.02,Maden İşletme Yöneticisi
1322.03,Üretim Müdürü(Maden)
1323.01,Proje Müdürü
1323.02,Üst Düzey Yöneticisi (İnşaat)
1323.03,Müteahhit-İnşaat Sektörü
1323.04,İnşaat Direktörü
1323.05,Saha İnşaat Müdürü
1323.06,Sözleşme Yöneticisi
1323.07,İşletmeye Alma Yöneticisi (İnşaat)
1323.08,Kalite Yöneticisi (İnşaat)
1323.09,Yapı İşleri Müdürü
1324.01,Liman İşletme Müdürü
1324.02,LPG Mesul Müdürü
1324.03,Yönetici (Ardiye Ve Depolama)
1324.04,Yönetici (Ulaşım İşleri)
1324.05,Yol Müdürü (Demiryolu)
1324.06,Satın Alma Yöneticisi/Müdürü
1324.07,Dağıtım Müdürü
1324.08,"Üst Düzey Yöneticisi (Ulaştırma, Haberleşme Ve Depolama)"
1324.09,Denizcilik İşletmeleri Yöneticisi
1324.1,Biyosidal Mesul Müdürü
1324.11,Otomotiv Yedek Parça Yöneticisi
1324.12,"Teknik, Yakıt ve Çevre Müdürü"
1324.13,Havacılık Yöneticisi
1324.14,Lojistik Operasyon Yöneticisi
1330.01,Yönetici (Haberleşme)
1330.02,Yönetici-Hesaplama Hizmetleri
1330.03,Yönetici (Bilgi İşlem)
1330.04,Yazılım Müdürü
1330.05,Bilgi Teknolojileri (BT) Müdürü
1341.01,Çocuk Bakım Hizmet Müdürleri
1342.01,Sağlık Kurumu İşletmecisi
1342.02,Hastane Yönetimi Ve Organizasyonu /Sağlık Kurumları İşletmeciliği Meslek Elemanı
1342.03,Sağlık Yöneticisi
1342.04,Sağlık Kurumu İşletmeciliği Meslek Elemanı
1342.05,Tıbbi Cihaz Satış Merkezi Sorumlu Müdürü
1343.01,Emekli Köyü Koordinatörü
1343.02,Hasta Bakımevi Müdürü
1343.03,Huzurevi Koordinatörü
1343.04,Huzurevi Müdürü
1343.05,Yaşlı Bakım Hizmetleri Müdürü
1344.01,Aile Hizmetleri Müdürü
1344.02,Konut Hizmetleri Müdürü
1344.03,Sosyal Yardım Müdürü
1344.04,Vakıf Müdürü
1345.01,Dekan
1345.02,Okul Müdürü
1345.03,Kurum Müdürü (Özel Öğretim/Dershane)
1345.04,Müdür (Anaokulu)
1345.05,Müdür Yardımcısı (Anaokulu)
1345.06,Eğitim Yöneticisi
1346.01,Yönetici (Bankalar Ve Diğer Mali Müesseseler)
1349.01,İlçe Emniyet Müdürü
1349.02,İlçe Emniyet Müdür Yardımcısı
1349.03,Emniyet Amiri
1349.04,Başkomiser
1349.05,Komiser
1349.06,Komiser Yardımcısı
1349.07,Diğer Profesyonel Hizmet Müdürleri
1349.08,Müdür (Hukuk Bürosu)
1349.09,İtfaiye Müdürü
1349.1,Ceza İnfaz Kurumu Müdürü
1349.11,Teknik Müdür
1349.12,İtfaiye Zabıta Amiri
1349.13,İtfaiye Eğitim Amiri
1349.14,İtfaiye Grup Amiri
1349.15,İtfaiye Su İkmal Amiri
1349.16,Laboratuvar Müdürü
1411.01,Pansiyon İşletmecisi
1411.02,Ön Büro Müdürü-Otel
1411.03,Müdür (Öğrenci Yurdu)
1411.04,Motel Müdürü
1411.05,Diğer Ağırlama Ve Konaklama Hizmetleri Yöneticileri
1411.06,Gece Müdürü (otel)
1411.07,Müdür Yardımcısı(Öğrenci Yurdu)
1411.08,Otel Müdürü
1411.09,Kat Hizmetleri Müdürü (Executive Housekeeper)
1411.1,Kat Hizmetleri Müdür Yardımcısı (Assistant Housekeeper)
1411.11,Misafir İlişkileri Müdürü (Guest Relations Officer)
1411.12,Turizm ve Otel İşletmecisi
1412.01,Bar Müdürü
1412.02,Restoran Yöneticisi
1412.03,Yiyecek-İçecek Yöneticisi (Otel)
1412.04,"Kafe, Bar Ve Snack Bar İşletmecisi (Kendi İşletmesinde Çalışanlar)"
1412.05,Restoran Müdürü
1412.06,Restoran İşletmecisi
1412.07,Yiyecek İçecek Müdürü
1412.08,Restoran Yönetici Yardımcısı
1420.01,Yönetici (Perakende Ticaret)
1420.02,Yönetici (Toptan Ticaret)
1420.03,Market Müdürü
1420.04,Mağaza Müdürü
1420.05,Balık Toptancısı
1420.06,Kabzımal (Meyve Sebze Toptancısı)
1420.07,Kendi İşletmesinde Çalışan (Toptan Ticaret)
1420.08,Yapı Market İşletme Müdürü
1431.01,İnternet Kafe İşletmecisi
1431.02,Yönetici (Dinlendirme Hizmetleri)
1431.03,Halı Saha İşletmecisi
1431.04,Spor Tesisi Yöneticisi
1439.01,Diğer Hizmet Müdürleri
1439.02,Gemi Acente Yetkilisi
1439.03,Müşteri İlişkileri Yöneticisi (CRM)
2111.01,Astronom
2111.02,Diğer Fizikçiler
2111.03,Fizikçi (Elektrik Ve Mıknatısiyet)
2111.04,Fizikçi (Mekanik)
2111.05,Fizikçi (Elektronik)
2111.06,Fizikçi
2111.07,Fizikçi-Isı
2111.08,Fizikçi-Işık
2111.09,Fizikçi-Nükleer
2111.1,Fizikçi-Ses
2111.11,Radyasyon (Sağlık) Fizikçisi
2111.12,Diğer Fizik Bilim Adamları
2111.13,Fizik Mühendisi
2112.01,Meteorolog
2112.02,Meteoroloji Mühendisi
2113.01,Diğer Kimyagerler
2113.02,Kimyager-Fiziki
2113.03,Kimyager
2113.04,Kimyager-İnorganik
2113.05,Kimyager-Organik
2113.06,Kimyager-Tahlil
2113.07,Kimyager (Yakıt)
2113.08,Kimyager (Madeni Yağ)
2114.01,Jeofizik Mühendisi
2114.02,Jeoloji Mühendisi
2114.03,Jeomorfolog
2114.04,Hidrojeoloji Mühendisi
2120.01,Aktüer
2120.02,Demograf
2120.03,İstatistikçi
2120.04,Matematik Mühendisi
2120.05,Matematikçi
2120.06,Yöneylem Araştırmacısı
2120.07,Türkiye İstatistik Kurumu Uzmanı
2120.08,Matematik-Bilgisayar Uzmanı
2120.09,İstatistik ve Bilgisayar Bilimcisi
2131.01,Biyokimyager
2131.02,Bakteriyolog
2131.03,Biyolog
2131.04,Botanist
2131.05,Diğer Bakteriyologlar Ve İlgili Bilim Adamları
2131.06,"Diğer Biyologlar, Zoologlar Ve İlgili Bilim Adamları"
2131.07,Zoolog
2131.08,Biyoteknolog ve Moleküler Biyolog
2131.09,Moleküler Biyoloji Ve Genetikçi (Moleküler Biyolog)
2131.1,Yaban Hayatı Uzmanı
2131.11,Diğer Farmakologlar Ve İlgili Bilim Adamları
2131.12,Farmakolog
2131.13,Biyomühendis
2131.14,Mikrobiyoloji Ve Klinik Mikrobiyoloji Uzmanı
2131.15,Anatomist
2131.16,Kuş Gözlemcisi
2131.17,Embriyolog
2131.18,Genetik ve Biyoinformatik Uzmanı
2132.01,Agronom (Tarım Bilimci)
2132.02,Balıkçılık Danışmanı
2132.03,Diğer Agronom Ve İlgili Danışmanlar
2132.04,Hortikültör
2132.05,Biyosistem Mühendisi
2132.06,Ormancılık Danışmanı
2132.07,Orman Yüksek Mühendisi
2132.08,Pomolog-Meyve Yetiştirme Uzmanı
2132.09,Silvikültör
2132.1,Tarla Ziraati Uzmanı
2132.11,Pedolog (Toprak Bilimci)
2132.12,Olerikültürist-Yağlı Tohum Yetiştirme Uzmanı
2132.14,Su Ürünleri Mühendisi
2132.15,Ziraat Mühendisi (Bitkisel Üretim)
2132.16,Ziraat Mühendisi (Tarım Teknolojisi)
2132.17,Ziraat Mühendisi (Hayvansal Üretim)
2132.18,Balıkçılık Teknolojisi Mühendisi
2132.19,Ziraat Mühendisi
2132.2,Tarım Müşaviri/Danışmanı
2132.21,Orman Mühendisi
2132.22,Orman Endüstri Mühendisi
2132.23,Ziraat Mühendisi (Tarımsal Biyoteknoloji)
2132.24,Ziraat Mühendisi (Tarım Ekonomisi)
2132.25,Ziraat Mühendisi (Bahçe Bitkileri)
2132.26,Ziraat Mühendisi (Bitki Koruma)
2132.27,Ziraat Mühendisi (Süt Teknolojisi)
2132.28,Ziraat Mühendisi (Tarla Bitkileri)
2132.29,Ziraat Mühendisi (Tarım Makineleri)
2132.3,Ziraat Mühendisi (Tarımsal Yapılar ve Sulama )
2132.31,Ziraat Mühendisi (Zootekni)
2132.32,Ziraat Mühendisi (Toprak Bilimi ve Bitki Besleme )
2132.33,Su Bilimleri ve  Mühendisi
2132.34,Organik Tarım İşletmecisi
2132.35,Organik Tarım Kontrolörü
2132.36,Organik Tarım Sertifikeri
2132.37,İyi Tarım Uygulamaları Kontrolörü
2132.38,İyi Tarım Uygulamaları Sertifikeri
2132.39,İyi Tarım Uygulamaları İç Kontrolörü
2132.4,Tarımsal Genetik Mühendisi
2132.41,Ziraat Mühendisi (Kanatlı Hayvan Yetiştiriciliği)
2132.42,Ziraat Yüksek Mühendisi (Tarımsal Biyoteknoloji)
2133.01,Deniz Kirliliği Önleme Uzmanı
2133.02,Çevre Eğiticisi
2133.03,Atık Yöneticisi
2141.01,Diğer Endüstri Mühendisleri
2141.02,Endüstri Mühendisi
2141.03,İşletme Mühendisi
2141.04,Sistem Mühendisi(Üretim)
2141.05,Ağaç İşleri Endüstri Mühendisi
2141.06,Kontrol Mühendisi /Kontrol Ve Otomasyon Mühendisi
2141.07,Üretim ve Planlama Mühendisi
2141.08,İmalat Mühendisi/Üretim Mühendisi
2141.09,Endüstri Sistemleri Mühendisi
2141.1,Verimlilik Uzmanı
2141.11,Etüt Ve Zamanlama Mühendisi
2141.12,Metot Mühendisi
2141.13,Gıda Mühendisi
2142.01,Diğer İnşaat Mühendisleri
2142.02,İnşaat Mühendisi-Bina
2142.03,İnşaat Mühendisi-Demiryolu
2142.04,İnşaat Mühendisi
2142.05,İnşaat Mühendisi-Havaalanı
2142.06,İnşaat Mühendisi-Karayolu
2142.07,İnşaat Mühendisi-Köprü
2142.08,İnşaat Mühendisi-Sıhhi Tesisler
2142.09,İnşaat Mühendisi-Su
2142.1,İnşaat Mühendisi-Toprak Tahlili
2142.11,Geoteknik Mühendisi/Uzmanı
2142.12,Ulaştırma Mühendisi
2143.01,Çevre Mühendisi
2143.02,Çevre Görevlisi
2143.03,Atıksu Arıtma Tesisi Tesis Sorumlusu
2143.04,Atıksu Arıtma Tesisi Teknik Sorumlusu
2144.01,Makine ve İmalat Mühendisi
2144.02,Gemi Makineleri İşletme Mühendisi
2144.03,Gemi İnşaatı ve Gemi Makineleri Mühendisi
2144.04,Havacılık Mühendisi
2144.05,"Isıtma, Havalandırma Ve Soğutma Mühendisi"
2144.06,Makine Mühendisi
2144.07,Makine Mühendisi-Motor Ve Makine (Deniz Hariç)
2144.08,Makine Ve Teçhizat Mühendisi
2144.09,Nükleer Enerji Mühendisi
2144.1,Otomotiv Mühendisi
